ztf_id,label,g_peak,g_duration,burst_ratio,g_rise,g_stability,r_peak,r_duration,r_rise,r_stability,peak_color,abs_mag_g
ZTF18aasprui,SN Ia,17.363016,17.96214129962027,0.9193724249074057,88.12224173194556,0.3471207777777789,17.44323,23.017627300228924,60.64029343277747,0.19201928571428514,-0.08021400000000156,-18.696018056611084
ZTF18ablongw,SN Ia,18.997238,27.890752299688756,0.9241494134910069,24.53622364890676,0.30790471428571464,18.90396,36.850960600189865,9.483617335928171,0.15906599999999962,0.09327799999999797,-18.726910036833484
ZTF18abkudjo,SN Ia,18.830086,28.035925900097936,1.0,12.296286812933223,0.27441359999999976,18.873058,35.9795601000078,10.512753647344669,0.14739059999999995,-0.0429719999999989,-19.15274240392271
ZTF18ablqlzp,SN Ia,17.43066,26.06173609988764,0.9966039933767624,30.221581797902225,0.3075860000000006,17.408033,32.916157400235534,62.43037178481107,0.2495328999999998,0.022626999999999953,-18.814457779131526
ZTF18ablqkud,SN Ia,19.257277,28.019525500014424,0.998039778249959,0.0010591372713878598,0.47292133333333436,18.926697,34.92133100004867,11.615654472505293,0.19195441666666646,0.33057999999999765,-18.06793680890969
ZTF18ablwtkf,SN Ia,17.653273,32.99704860011116,1.0,45.423431469713336,0.6837852500000006,17.760431,38.83144670026377,78.17698566317382,0.5269152500000001,-0.10715800000000186,-19.12822242153097
ZTF18abmmkaz,SN Ia,18.159359,30.89827540004626,1.0,12.26068882581112,0.28246900000000014,18.195164,17.954756999854,0.0,0.13472480000000003,-0.035804999999999865,-19.065323856741312
ZTF18ablmflp,SN Ia,18.083193,13.97848379984498,1.0,34.459436617000414,0.40611833333333297,17.903452,40.95837969984859,30.864021921238635,0.25706214285714274,0.17974099999999993,-18.19316952551653
ZTF18abltdfj,SN Ia-91bg,19.609009,19.062939799856395,1.0,0.0,99.0,17.99371,30.969351899810135,29.628516090971196,0.3997724999999998,1.6152990000000003,-15.964045921160867
ZTF18abmmdif,SN Ia,18.274078,35.876608800143,0.9375635160854785,30.85088626029664,0.34629244444444474,18.415188,44.84791670041159,21.0061160690298,0.14858478571428563,-0.14111000000000118,-19.26134439048553
ZTF18actuhrs,SN Ia-CSM,16.550028,425.00657399976626,0.9998591188257161,13.420186768864221,0.11781276666666672,16.218643,443.9016666999087,7.866024766032118,0.15443749999999987,0.33138500000000093,-18.922078063021804
ZTF18ablqjul,SN Ia,18.84193,7.08380790008232,1.0,6.427969558339436,99.0,18.839754,41.92708340007812,12.17799900379226,0.33271433333333356,0.002176000000002176,-19.318186073527027
ZTF18abltaxf,SN Ia,18.247536,22.07406250014901,1.0,0.0,0.25934028571428563,18.395449,30.944502300117165,38.90173767054726,0.2537421249999996,-0.14791299999999907,-18.803336325445247
